full_name,max_slack
sub1_data_reg_reg[62]/RESETN,INFINITY
sub1_data_reg_reg[126]/RESETN,INFINITY
ks1_col_reg[6]/RESETN,INFINITY
ks1_col_reg[30]/RESETN,INFINITY
sub1_data_reg_reg[94]/RESETN,INFINITY
ks1_key_reg_reg[122]/RESETN,INFINITY
sub1_data_reg_reg[54]/RESETN,INFINITY
sub1_data_reg_reg[22]/RESETN,INFINITY
sub1_data_reg_reg[86]/RESETN,INFINITY
sub1_data_reg_reg[118]/RESETN,INFINITY
sub1_data_reg_reg[70]/RESETN,INFINITY
ks1_key_reg_reg[94]/RESETN,INFINITY
ks1_key_reg_reg[62]/RESETN,INFINITY
ks1_key_reg_reg[30]/RESETN,INFINITY
mix1_data_o_reg_reg[15]/RESETN,INFINITY
mix1_data_reg_reg[63]/RESETN,INFINITY
mix1_data_reg_reg[111]/RESETN,INFINITY
mix1_data_reg_reg[127]/RESETN,INFINITY
mix1_data_reg_reg[95]/RESETN,INFINITY
mix1_data_o_reg_reg[31]/RESETN,INFINITY
mix1_data_reg_reg[47]/RESETN,INFINITY
mix1_data_reg_reg[79]/RESETN,INFINITY
mix1_data_o_reg_reg[16]/RESETN,INFINITY
mix1_data_o_reg_reg[23]/RESETN,INFINITY
mix1_data_reg_reg[55]/RESETN,INFINITY
mix1_data_reg_reg[87]/RESETN,INFINITY
mix1_data_reg_reg[119]/RESETN,INFINITY
mix1_data_reg_reg[48]/RESETN,INFINITY
mix1_data_reg_reg[112]/RESETN,INFINITY
mix1_data_reg_reg[80]/RESETN,INFINITY
mix1_data_reg_reg[102]/RESETN,INFINITY
mix1_data_o_reg_reg[26]/RESETN,INFINITY
mix1_data_o_reg_reg[6]/RESETN,INFINITY
mix1_data_reg_reg[90]/RESETN,INFINITY
mix1_data_reg_reg[122]/RESETN,INFINITY
mix1_data_reg_reg[58]/RESETN,INFINITY
mix1_data_reg_reg[70]/RESETN,INFINITY
mix1_data_reg_reg[38]/RESETN,INFINITY
mix1_data_o_reg_reg[1]/RESETN,INFINITY
mix1_data_o_reg_reg[17]/RESETN,INFINITY
mix1_data_reg_reg[81]/RESETN,INFINITY
mix1_data_reg_reg[33]/RESETN,INFINITY
mix1_data_reg_reg[49]/RESETN,INFINITY
mix1_data_reg_reg[65]/RESETN,INFINITY
mix1_data_reg_reg[113]/RESETN,INFINITY
mix1_data_reg_reg[97]/RESETN,INFINITY
mix1_data_o_reg_reg[14]/RESETN,INFINITY
mix1_data_o_reg_reg[22]/RESETN,INFINITY
mix1_data_reg_reg[118]/RESETN,INFINITY
mix1_data_reg_reg[78]/RESETN,INFINITY
mix1_data_reg_reg[54]/RESETN,INFINITY
mix1_data_reg_reg[46]/RESETN,INFINITY
mix1_data_reg_reg[86]/RESETN,INFINITY
mix1_data_reg_reg[110]/RESETN,INFINITY
mix1_data_o_reg_reg[29]/RESETN,INFINITY
mix1_data_reg_reg[61]/RESETN,INFINITY
mix1_data_reg_reg[125]/RESETN,INFINITY
mix1_data_reg_reg[93]/RESETN,INFINITY
ks1_key_reg_reg[126]/RESETN,INFINITY
ks1_key_reg_reg[125]/RESETN,INFINITY
ks1_key_reg_reg[121]/RESETN,INFINITY
ks1_key_reg_reg[123]/RESETN,INFINITY
ks1_key_reg_reg[88]/RESETN,INFINITY
ks1_key_reg_reg[124]/RESETN,INFINITY
sbox1_alph_reg[0]/RESETN,INFINITY
ks1_key_reg_reg[56]/RESETN,INFINITY
ks1_key_reg_reg[24]/RESETN,INFINITY
mix1_data_o_reg_reg[0]/RESETN,INFINITY
mix1_data_reg_reg[96]/RESETN,INFINITY
mix1_data_reg_reg[32]/RESETN,INFINITY
mix1_data_reg_reg[64]/RESETN,INFINITY
mix1_data_reg_reg[126]/RESETN,INFINITY
mix1_data_o_reg_reg[30]/RESETN,INFINITY
mix1_data_reg_reg[62]/RESETN,INFINITY
mix1_data_reg_reg[94]/RESETN,INFINITY
ks1_key_reg_reg[120]/RESETN,INFINITY
addroundkey_data_reg_reg[8]/RESETN,INFINITY
addroundkey_data_reg_reg[39]/RESETN,INFINITY
addroundkey_data_reg_reg[101]/RESETN,INFINITY
addroundkey_data_reg_reg[99]/RESETN,INFINITY
addroundkey_data_reg_reg[35]/RESETN,INFINITY
addroundkey_data_reg_reg[98]/RESETN,INFINITY
addroundkey_data_reg_reg[27]/RESETN,INFINITY
addroundkey_data_reg_reg[46]/RESETN,INFINITY
addroundkey_data_reg_reg[95]/RESETN,INFINITY
addroundkey_data_reg_reg[91]/RESETN,INFINITY
addroundkey_data_reg_reg[96]/RESETN,INFINITY
addroundkey_data_reg_reg[117]/RESETN,INFINITY
addroundkey_data_reg_reg[13]/RESETN,INFINITY
addroundkey_data_reg_reg[94]/RESETN,INFINITY
addroundkey_data_reg_reg[87]/RESETN,INFINITY
addroundkey_data_reg_reg[37]/RESETN,INFINITY
addroundkey_data_reg_reg[49]/RESETN,INFINITY
addroundkey_data_reg_reg[69]/RESETN,INFINITY
addroundkey_data_reg_reg[18]/RESETN,INFINITY
addroundkey_data_reg_reg[68]/RESETN,INFINITY
addroundkey_data_reg_reg[22]/RESETN,INFINITY
addroundkey_data_reg_reg[70]/RESETN,INFINITY
addroundkey_data_reg_reg[71]/RESETN,INFINITY
addroundkey_data_reg_reg[26]/RESETN,INFINITY
addroundkey_data_reg_reg[77]/RESETN,INFINITY
addroundkey_data_reg_reg[62]/RESETN,INFINITY
addroundkey_data_reg_reg[66]/RESETN,INFINITY
addroundkey_data_reg_reg[21]/RESETN,INFINITY
addroundkey_data_reg_reg[64]/RESETN,INFINITY
addroundkey_data_reg_reg[20]/RESETN,INFINITY
addroundkey_data_reg_reg[84]/RESETN,INFINITY
addroundkey_data_reg_reg[61]/RESETN,INFINITY
addroundkey_data_reg_reg[19]/RESETN,INFINITY
addroundkey_data_reg_reg[59]/RESETN,INFINITY
addroundkey_data_reg_reg[58]/RESETN,INFINITY
addroundkey_data_reg_reg[55]/RESETN,INFINITY
addroundkey_data_reg_reg[16]/RESETN,INFINITY
addroundkey_data_reg_reg[52]/RESETN,INFINITY
addroundkey_data_reg_reg[127]/RESETN,INFINITY
addroundkey_data_reg_reg[126]/RESETN,INFINITY
addroundkey_data_reg_reg[125]/RESETN,INFINITY
addroundkey_data_reg_reg[50]/RESETN,INFINITY
addroundkey_data_reg_reg[2]/RESETN,INFINITY
addroundkey_data_reg_reg[123]/RESETN,INFINITY
addroundkey_data_reg_reg[122]/RESETN,INFINITY
addroundkey_data_reg_reg[48]/RESETN,INFINITY
addroundkey_data_reg_reg[119]/RESETN,INFINITY
addroundkey_data_reg_reg[47]/RESETN,INFINITY
addroundkey_data_reg_reg[0]/RESETN,INFINITY
addroundkey_data_reg_reg[116]/RESETN,INFINITY
addroundkey_data_reg_reg[114]/RESETN,INFINITY
addroundkey_data_reg_reg[112]/RESETN,INFINITY
addroundkey_data_reg_reg[109]/RESETN,INFINITY
addroundkey_data_reg_reg[42]/RESETN,INFINITY
addroundkey_data_reg_reg[104]/RESETN,INFINITY
addroundkey_data_reg_reg[40]/RESETN,INFINITY
addroundkey_data_reg_reg[36]/RESETN,INFINITY
addroundkey_data_reg_reg[93]/RESETN,INFINITY
ks1_key_reg_reg[45]/RESETN,INFINITY
ks1_key_reg_reg[13]/RESETN,INFINITY
