ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
rd1_Key_o_reg[23]/D,-16.985916,4.315323,256.359375,247.160385,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,251.475708,247.160385,4.315323,21,0.000000,rd1_Key_o_reg[23]/CLK,fall
rd1_Key_o_reg[10]/D,-20.062653,4.645309,266.369781,254.159927,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,258.805237,254.159927,4.645309,23,0.000000,rd1_Key_o_reg[10]/CLK,fall
rd1_Key_o_reg[3]/D,-13.440155,5.038818,267.664795,263.966736,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,269.005554,263.966736,5.038818,23,0.000000,rd1_Key_o_reg[3]/CLK,fall
rd1_Key_o_reg[22]/D,-12.359344,5.596985,257.598877,251.352478,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,256.949463,251.352493,5.596985,19,0.000000,rd1_Key_o_reg[22]/CLK,fall
rd1_L_o_reg[20]/D,-11.090088,6.068680,251.417969,251.041489,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,257.110168,251.041489,6.068680,21,0.000000,rd1_L_o_reg[20]/CLK,fall
rd1_Key_o_reg[4]/D,-8.651825,6.523712,267.381683,267.250183,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,273.773895,267.250183,6.523712,21,0.000000,rd1_Key_o_reg[4]/CLK,fall
rd1_Key_o_reg[37]/D,-18.807922,6.983551,283.932892,273.103516,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,280.087067,273.103516,6.983551,23,0.000244,rd1_Key_o_reg[37]/CLK,fall
rd1_L_o_reg[10]/D,-17.289047,7.040878,256.977112,250.390030,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,257.430908,250.390060,7.040878,17,0.000000,rd1_L_o_reg[10]/CLK,fall
rd1_Key_o_reg[48]/D,-9.661011,7.083893,279.515442,278.227509,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,285.311401,278.227539,7.083893,25,0.000244,rd1_Key_o_reg[48]/CLK,fall
rd1_Key_o_reg[14]/D,-17.506516,8.346329,261.796204,247.920944,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,256.267273,247.920944,8.346329,21,0.000000,rd1_Key_o_reg[14]/CLK,fall
rd1_Key_o_reg[7]/D,-8.710815,10.528610,257.888824,252.239883,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,262.768494,252.239883,10.528610,19,0.000000,rd1_Key_o_reg[7]/CLK,fall
rd1_L_o_reg[0]/D,7.245331,14.690125,229.521698,233.880692,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,248.570816,233.880676,14.690125,19,0.000000,rd1_L_o_reg[0]/CLK,fall
rd1_Key_o_reg[38]/D,-11.398102,16.131897,275.898590,263.722443,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,279.85434,263.722473,16.131897,21,0.000244,rd1_Key_o_reg[38]/CLK,fall
rd1_Key_o_reg[34]/D,1.378052,16.324219,263.916473,263.829559,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,280.153778,263.829529,16.324219,21,0.000244,rd1_Key_o_reg[34]/CLK,fall
rd1_Key_o_reg[25]/D,6.140686,17.419373,257.601501,261.361847,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,278.781219,261.361816,17.419373,21,0.000244,rd1_Key_o_reg[25]/CLK,fall
rd1_Key_o_reg[32]/D,4.240631,18.581970,264.357513,265.316071,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,283.898041,265.316101,18.581970,19,0.000244,rd1_Key_o_reg[32]/CLK,fall
rd1_Key_o_reg[28]/D,-2.344177,18.770538,273.237762,267.719727,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,286.490265,267.719727,18.770538,23,0.000244,rd1_Key_o_reg[28]/CLK,fall
rd1_Key_o_reg[54]/D,6.824982,19.518829,262.004761,264.469940,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,283.98877,264.469910,19.518829,21,0.000244,rd1_Key_o_reg[54]/CLK,fall
rd1_Key_o_reg[0]/D,5.788544,19.730194,238.464828,236.214752,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,255.944946,236.214767,19.730194,19,0.000000,rd1_Key_o_reg[0]/CLK,fall
rd1_L_o_reg[13]/D,0.787750,20.060013,234.824036,230.440857,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,250.50087,230.440872,20.060013,15,0.000000,rd1_L_o_reg[13]/CLK,fall
rd1_Key_o_reg[55]/D,0.804596,20.971436,265.486053,260.375336,stage1_iter_reg[0]/CLK,54.749596,54.749596,0.000000,281.346771,260.375366,20.971436,25,0.000244,rd1_Key_o_reg[55]/CLK,fall
rd1_Key_o_reg[51]/D,7.851074,22.342957,265.614258,266.438019,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,288.780975,266.437988,22.342957,21,0.000244,rd1_Key_o_reg[51]/CLK,fall
ready_o_reg/D,18.649170,22.930176,240.882843,258.356628,stage1_iter_reg[0]/CLK,54.749596,54.749596,0.000000,281.286804,258.356628,22.930176,19,0.000244,ready_o_reg/CLK,fall
rd1_Key_o_reg[39]/D,-1.203949,23.611176,266.081726,256.483398,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,280.094574,256.483398,23.611176,21,0.000244,rd1_Key_o_reg[39]/CLK,fall
rd1_L_o_reg[3]/D,-1.077301,25.956467,260.588959,255.309830,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,281.266296,255.309830,25.956467,19,0.000244,rd1_L_o_reg[3]/CLK,fall
rd1_Key_o_reg[31]/D,9.507599,26.714966,261.989685,260.768951,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,287.483917,260.768982,26.714966,21,0.000244,rd1_Key_o_reg[31]/CLK,fall
rd1_Key_o_reg[33]/D,11.803314,26.788391,262.024414,262.366425,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,289.154816,262.366455,26.788391,21,0.000244,rd1_Key_o_reg[33]/CLK,fall
rd1_Key_o_reg[53]/D,2.042236,27.488770,271.393829,261.738770,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,289.227539,261.738770,27.488770,23,0.000244,rd1_Key_o_reg[53]/CLK,fall
rd1_L_o_reg[6]/D,11.187546,28.722046,229.074020,225.563919,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,254.285965,225.563934,28.722046,15,0.000000,rd1_L_o_reg[6]/CLK,fall
rd1_Key_o_reg[9]/D,6.839172,28.979980,276.802734,270.616394,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,299.596375,270.616394,28.979980,21,0.000244,rd1_Key_o_reg[9]/CLK,fall
rd1_Key_o_reg[52]/D,13.399811,31.341431,259.414124,256.808167,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,288.149597,256.808167,31.341431,21,0.000244,rd1_Key_o_reg[52]/CLK,fall
rd1_Key_o_reg[35]/D,9.953949,33.213318,274.371063,266.966461,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,300.179779,266.966431,33.213318,23,0.000244,rd1_Key_o_reg[35]/CLK,fall
rd1_Key_o_reg[50]/D,5.815094,34.743454,267.772949,255.115921,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,289.859375,255.115906,34.743454,23,0.000244,rd1_Key_o_reg[50]/CLK,fall
rd1_L_o_reg[5]/D,22.028366,38.462265,220.813858,223.323868,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,261.786133,223.323883,38.462265,15,0.000000,rd1_L_o_reg[5]/CLK,fall
rd1_L_o_reg[1]/D,16.013657,39.433090,225.141541,215.221115,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,254.654205,215.221115,39.433090,15,0.000000,rd1_L_o_reg[1]/CLK,fall
rd1_Key_o_reg[45]/D,17.321716,39.975220,268.094208,262.018890,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,301.99411,262.018860,39.975220,23,0.000244,rd1_Key_o_reg[45]/CLK,fall
