full_name,actual_rise_transition_max,actual_fall_transition_max,cached_ceff_max_rise,cached_ceff_max_fall,cached_ceff_min_rise,cached_ceff_min_fall,fanout_load,pin_capacitance_max,direction,max_rise_slack,max_fall_slack,max_rise_arrival,max_fall_arrival,actual_rise_transition_min,actual_fall_transition_min,min_rise_slack,min_fall_slack,min_rise_arrival,min_fall_arrival,x_coordinate,y_coordinate
g43959_dup/Y,42.618210,32.324543,0.005216,0.005233,0.004094,0.004168,0.000000,0.000000,out,-89.048828,-87.618408,286.472382,289.866272,18.578730,24.071064,42.100399,38.052402,62.196510,58.837082,15102.000000,5517.000000
g44583/Y,23.446154,20.708439,0.005609,0.005613,0.003871,0.003863,0.000000,0.000000,out,-98.267410,-97.881088,277.328613,274.819855,15.758577,15.676239,47.466972,56.063408,65.988983,65.966606,14616.000000,5553.000000
g41627__44044/Y,22.013039,19.403227,0.004908,0.004893,0.004072,0.004041,0.000000,0.000000,out,-71.737579,-75.332077,272.701721,274.779968,17.994081,13.766159,19.221176,21.824104,52.937935,53.185734,11520.000000,4563.000000
g41627__44044_dup/Y,19.906113,17.784523,0.004222,0.004224,0.003237,0.003258,0.000000,0.000000,out,-77.272308,-79.326752,271.595276,273.877808,15.377217,11.815388,23.645660,24.741449,51.585228,52.126785,11520.000000,5013.000000
g52785/Y,43.308338,36.223282,0.004909,0.004921,0.003744,0.003780,0.000000,0.000000,out,-95.151001,-94.696884,269.335968,268.648193,17.745142,22.939299,32.969288,24.803102,46.004444,41.532295,12240.000000,5679.000000
g41626__46577/Y,50.130848,42.240379,0.005769,0.005763,0.004439,0.004384,0.000000,0.000000,out,-120.599686,-119.785233,268.936859,268.010773,34.761646,20.395645,35.534676,20.687328,49.750122,42.516201,9252.000000,6759.000000
g47970/Y,14.769411,14.010504,0.001271,0.001266,0.001042,0.000934,0.000000,0.000000,out,-98.751678,-108.275772,229.438568,232.708237,11.321817,9.438759,26.087284,38.498890,36.179546,34.118156,9594.000000,6633.000000
g52785_dup/Y,38.239185,29.628853,0.001782,0.001782,0.001461,0.001457,0.000000,0.000000,out,-92.734863,-95.823792,262.265747,267.261963,14.177513,19.109201,38.349159,34.966309,44.108391,39.565456,12348.000000,5553.000000
g23/Y,15.287604,16.321949,0.000434,0.000431,0.000369,0.000365,0.000000,0.000000,out,-81.560852,-75.454437,339.694214,340.079987,11.799443,9.612648,17.532564,1.671013,43.608887,45.420525,14274.000000,1863.000000
g777/Y,23.664017,14.200934,0.000804,0.000802,0.000695,0.000678,0.000000,0.000000,out,-72.164948,-81.225555,351.920380,349.174316,14.308767,7.606339,-10.310646,3.585476,46.316917,39.674862,15048.000000,1899.000000
